{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
dhātrīpatrarasairyadvā triphalākvathitodakaiḥ | [RCūM, 14 100.2]
puṭellohaṃ caturvāraṃ bhavedvāritaraṃ khalu | [RCūM, 14 101.1]
tīkṣṇalohasya patrāṇi nirdalāni dṛḍhānale | [RCūM, 14 101.2]
dhmātvā kṣiptvā jale sadyaḥ pāṣāṇolūkhalodare | [RCūM, 14 102.1]
kaṇḍayedatinirghātaiḥ sthūlayā lohapārayā | [RCūM, 14 102.2]
tanmadhyāt sthūlakhaṇḍāni ruddhvā malladvayāntare | [RCūM, 14 103.1]
dhmātvā siktvā jalaiḥ samyak pūrvavat kaṇḍayet khalu | [RCūM, 14 103.2]
taccūrṇaṃ guḍagandhābhyāṃ puṭed viṃśativārakam | [RCūM, 14 104.1]
puṭe puṭe vidhātavyaṃ peṣaṇaṃ dṛḍhavattaram | [RCūM, 14 104.2]
evaṃ bhasmīkṛtaṃ lohaṃ tattadrogeṣu yojayet | [RCūM, 14 105.1]
atha pūrvoditaṃ tīkṣṇaṃ vasubhallakavāsayoḥ | [RCūM, 14 105.2]
puṭitaṃ patratoyena triṃśadvārāṇi yatnataḥ | [RCūM, 14 106.1]
śoṇitaṃ jāyate bhasma kṛtasindūravibhramam | [RCūM, 14 106.2]
yadvā tīkṣṇadalodbhūtaṃ rajas tat triphalājalaiḥ | [RCūM, 14 107.1]
piṣṭvā dattvaudanaṃ kiṃciccakrikāṃ pravidhāya ca | [RCūM, 14 107.2]
śoṣayitvātiyatnena prapacet pañcabhiḥ puṭaiḥ | [RCūM, 14 108.1]
raktavarṇaṃ hi tadbhasma yojanīyaṃ yathāyatham | [RCūM, 14 108.2]
matsyākṣīgandhavāhlīkair lakucadravapeṣitaiḥ | [RCūM, 14 109.1]
vilipya sakalaṃ lohaṃ matsyākṣīkalkagopitam | [RCūM, 14 109.2]
bhastrābhyāṃ sudṛḍhaṃ dhmātvā triśūlīnirgamāvadhi | [RCūM, 14 110.1]
athoddhṛtya kṣipetkvāthe triphalāgojalātmake | [RCūM, 14 110.2]
tasmādāhṛtya saṃtāḍya mṛtamādāya lohakam | [RCūM, 14 111.1]
punaśca pūrvavad dhmātvā mārayedakhilāyasam | [RCūM, 14 111.2]
kaṇḍayitvā tato gandhaguḍatriphalayā saha | [RCūM, 14 112.1]
puṭed viṃśativāreṇa nirutthaṃ jāyate dhruvam | [RCūM, 14 112.2]
samagandham ayaścūrṇaṃ kumārīvārimarditam | [RCūM, 14 113.1]
puñjīkṛtaṃ kiyatkālaṃ chāyāsthaṃ mriyate hyayaḥ | [RCūM, 14 113.2]
etatsyādapunarbhavaṃ hi bhasitaṃ lohasya divyāmṛtaṃ samyak siddharasāyanaṃ trikaṭukīvellājyamadhvanvitam | [RCūM, 14 114.1]
hanyānniṣkamitaṃ jarāṃ ca maraṇaṃ vyādhīṃśca satputradaṃ diṣṭaṃ śrīgiriśena kālayavanodbhūtyai purā tatpituḥ | [RCūM, 14 114.2]
etatsaṃsevamānānāṃ na bhavantyāmayoccayāḥ | [RCūM, 14 115.1]
jāyate ca sutaḥ śrīmān dhīdhairyyabalasaṃyutaḥ | [RCūM, 14 115.2]
kālalohena kāntena bhasmaitatparikalpayet | [RCūM, 14 116.1]
anyalohakṛtaṃ bhasma naitādṛśaguṇātmakam | [RCūM, 14 116.2]
matsyākṣīkṣīragandhāśmapiṣṭaṃ veti tadāyasam | [RCūM, 14 117.1]
viṃśatiḥ puṭitaṃ vārānnirutthaṃ bhasma jāyate | [RCūM, 14 117.2]
tadaṣṭapalikaṃ bhasma mūtrair aṣṭaguṇair gavām | [RCūM, 14 118.1]
pacellohamaye pātre lohadarvyā vighaṭṭayet | [RCūM, 14 118.2]
itthaṃ siddhamidaṃ lohaṃ valladvitayasaṃmitam | [RCūM, 14 119.1]
nihanti sakalānrogāṃstattaddoṣasamudbhavān | [RCūM, 14 119.2]
kṣayaṃ pāṇḍugadaṃ gulmaṃ śūlaṃ mūlāmayaṃ tathā | [RCūM, 14 120.1]
mehaṃ medo'gnimāndyaṃ ca yakṛtplīhaṃ ca kāmalām | [RCūM, 14 120.2]
śvāsaṃ kāsaṃ ca kuṣṭhaṃ ca jvaraṃ śūlānvitaṃ tathā | [RCūM, 14 121]
kāntaṃ tulyābhrasattvaṃ caraṇaparimitaṃ hema tattulyamarkaṃ vaikrāntaṃ tāpyarūpyaṃ krimiripukaṭukais tulyabhāgaiḥ sametam | [RCūM, 14 122.1]
līḍhaṃ devadrutailaiḥ pravitarati nṛṇāṃ dehasiddhiṃ samṛddhāṃ pathyaṃ pūrvoktavat taddharati ca sakalaṃ rogapūgaṃ javena | [RCūM, 14 122.2]
tadetatsarvarogaghnaṃ ramyaṃ kāntarasāyanam | [RCūM, 14 123.1]
balyaṃ vṛṣyaṃ suputrīyaṃ maṅgalyaṃ dīpanaṃ param | [RCūM, 14 123.2]
palārdhaṃ retitaṃ lohaṃ bālabilvaphalāmbunā | [RCūM, 14 124.1]
piṣṭvā piṣṭvā pacetkṣipraṃ bhasmasājjāyate khalu | [RCūM, 14 124.2]
tathā liṅgīphalāmbhobhir dhātrīphalarasena ca | [RCūM, 14 125.1]
pūrvavanmārayellohaṃ jāyate guṇavattaram | [RCūM, 14 125.2]
punarbhūsindhvapāmārgavajriṇītintiḍītvacām | [RCūM, 14 126.1]
kṣāraiḥ sarvāyasāṃ bhasma sevitaṃ śāṇamātrataḥ | [RCūM, 14 126.2]
kvāthaṃ triphalāsaṃyuktaṃ pratimāsaṃ pibennaraḥ | [RCūM, 14 127.1]
lohakiṭṭaviśuddhyarthaṃ jāyate cānyathāśmarī | [RCūM, 14 127.2]
aviśodhitalohānāṃ viṣavadvamanaṃ matam | [RCūM, 14 128.1]
nandinā tu viśuddhyarthaṃ lohaṃ proktaṃ sudhāsamam | [RCūM, 14 128.2]
rātrau kāntaśarāvake sthitavarāmitrājalaiḥ svādubhiḥ prātarmuṣṭimitaṃ khalu pratidinaṃ ṣaṇmāsam āsevitam | [RCūM, 14 129.1]
hanyātpittakaphāmayān bahuvidhānkuṣṭhapramehāṃstathā pāṇḍuṃ yakṣmagadaṃ ca kāmalagadaṃ mūlāmayaṃ vātajān | [RCūM, 14 129.2]
aśodhitāyaḥ sapunarbhavaṃ tadguṇaṃ pradarśyālpamatha prakuryāt | [RCūM, 14 130.1]
āmāgnimāndyārucigulmaśophaviḍbhedam ālasyam urovibandham | [RCūM, 14 130.2]
khurakaṃ miśrakaṃ ceti dvividhaṃ vaṅgamucyate | [RCūM, 14 131.1]
khuraṃ tatra guṇaiḥ śreṣṭhaṃ miśrakaṃ na hitaṃ matam | [RCūM, 14 131.2]
dhavalaṃ ca mṛdu snigdhaṃ drutadrāvaṃ sagauravam | [RCūM, 14 132.1]
niḥśabdaṃ khuravaṅgaṃ syān miśrakaṃ śyāmaśubhrakam | [RCūM, 14 132.2]
vaṅgaṃ tiktoṣṇakaṃ rūkṣamīṣadvātaprakopaṇam | [RCūM, 14 133.1]
medaḥśleṣmāmayaghnaṃ ca krimighnaṃ mehanāśanam | [RCūM, 14 133.2]
drāvayitvā niśāyukte kṣiptaṃ nirguṇḍikārase | [RCūM, 14 134.1]
viśudhyati trivāreṇa khuravaṅgaṃ na saṃśayaḥ | [RCūM, 14 134.2]
amlatakraviniṣpiṣṭavarṣābhūviṣasindhubhiḥ | [RCūM, 14 135.1]
kaṭvalābugataṃ vaṅgaṃ dvitīyaṃ pariśudhyati | [RCūM, 14 135.2]
satālenārkadugdhena liptvā vaṅgadalānyatha | [RCūM, 14 136.1]
bodhiciñcātvacāṃ kṣārairdadyāllaghupuṭāni ca | [RCūM, 14 136.2]
mardayitvā caredbhasma tadrasādiṣu śasyate | [RCūM, 14 137.1]
pradrāvya kharpare vaṅgaṃ ṣoḍaśāṃśaṃ rasaṃ kṣipet | [RCūM, 14 137.2]
svalpasvalpālakaṃ dattvā bhāradvājasya kāṣṭhataḥ | [RCūM, 14 138.1]
mardayitvā caredbhasma tadrasādiṣu kīrtitam | [RCūM, 14 138.2]
vaṅgabhasmasamaṃ kāntaṃ vyomabhasma ca tatsamam | [RCūM, 14 139.1]
mardayetkanyakāmbhobhir nimbapatrarasair api | [RCūM, 14 139.2]
bhūpālāvartabhasmātha vinikṣipya samāṃśakam | [RCūM, 14 140.1]
gomūtrakaśilādhātujalaiḥ samyagvimardayet | [RCūM, 14 140.2]
tato guggulutoyena mardayitvā dināṣṭakam | [RCūM, 14 141.1]
viśoṣya paricūrṇyātha samabhāgena yojayet | [RCūM, 14 141.2]
bhṛṣṭabarbūraniryāsair vākucībījacūrṇakaiḥ | [RCūM, 14 142.1]
tataḥ kṣipetkaraṇḍāntarvidhāya paṭagālitam | [RCūM, 14 142.2]
gotakrapiṣṭarajanīsāreṇa saha pāyayet | [RCūM, 14 143.1]
caturbhirvallakaistulyaṃ ramyaṃ vaṅgarasāyanam | [RCūM, 14 143.2]
niścitaṃ tena naśyanti mehā viṃśatibhedakāḥ | [RCūM, 14 144.1]
śālayo mudgasūpaṃ ca navanītaṃ tilodbhavam | [RCūM, 14 144.2]
paṭolaṃ tiktatuṇḍīraṃ takraṃ pathyaṃ praśasyate | [RCūM, 14 144.3]
drutadrāvaṃ mahābhāraṃ chede kṛṣṇaṃ samujjvalam | [RCūM, 14 145.1]
pūtigandhaṃ bahiḥkṛṣṇaṃ śuddhaṃ sīsamato'nyathā | [RCūM, 14 145.2]
atyuṣṇaṃ sīsakaṃ snigdhaṃ tiktaṃ vātāpaham | [RCūM, 14 146.1]
pramehatoyadoṣaghnaṃ dīpanaṃ cāmavātanut | [RCūM, 14 146.2]
sinduvārajaṭākvāthe haridrācūrṇakaṃ kṣipet | [RCūM, 14 147.1]
drutaṃ nāgaṃ ca nirguṇḍyāstrivāraṃ nikṣipedrase | [RCūM, 14 147.2]
nāgaḥ śuddho bhavedevaṃ mūrcchāsphoṭādi nācaret | [RCūM, 14 148.1]
tiryagākāracullyāṃ tu tiryagvaktraṃ ghaṭaṃ kṣipet | [RCūM, 14 148.2]
taṃ ca vaktraṃ vinā sarvaṃ gopayedyatnato mṛdā | [RCūM, 14 148.3]
bhrāṣṭrayantrābhidhaṃ caitannāgamāraṇam uttamam | [RCūM, 14 148.4]
bhrāṣṭrayantrābhidhe tasminyantre sīsaṃ vinikṣipet | [RCūM, 14 149.1]
palaviṃśatikaṃ nāgamadhastīvrānalaṃ kṣipet | [RCūM, 14 149.2]
drute nāge kṣipetsūtaṃ śuddhaṃ karṣamitaṃ śubham | [RCūM, 14 150.1]
vighaṭṭya nikṣipet kṣāramekaikaṃ hi palaṃ palam | [RCūM, 14 150.2]
arjunākhyasya vṛkṣasya mahārājagirerapi | [RCūM, 14 151.1]
dāḍimasya mayūrasya kṣiptvā kṣāraṃ pṛthak pṛthak | [RCūM, 14 151.2]
evaṃ viṃśatirātrāṇi pacettīvreṇa vahninā | [RCūM, 14 152.1]
vighaṭṭayan dṛḍhaṃ dorbhyāṃ darvyā cātha prayatnataḥ | [RCūM, 14 152.2]
raktaṃ tajjāyate bhasma kapotacchāyameva ca | [RCūM, 14 153.1]
nāgaṃ doṣavinirmuktaṃ jāyate tu rasāyanam | [RCūM, 14 153.2]
hatamutthāpitaṃ sīsaṃ daśavāreṇa sidhyati | [RCūM, 14 154.1]
tanmṛtaṃ sīsakaṃ sarvadoṣamuktaṃ rasāyanam | [RCūM, 14 154.2]
evaṃ nāgodbhavaṃ bhasma tāpyabhasmārdhabhāgikam | [RCūM, 14 155.1]
pādaṃ pādaṃ kṣipedbhasma śulbasya rajatasya ca | [RCūM, 14 155.2]
kāntābhrasattvayoś cāpi sphaṭikasya pṛthak pṛthak | [RCūM, 14 156.1]
sarvamekatra saṃcūrṇya puṭet triphalavāriṇā | [RCūM, 14 156.2]
triṃśadvanagiriṇḍaiśca triṃśadvāraṃ vicūrṇya tat | [RCūM, 14 157.1]
vyoṣavellakacūrṇaiśca samāṃśaiḥ saha yojayet | [RCūM, 14 157.2]
madhvājyasahitaṃ hanti pralīḍhaṃ vallamātrayā | [RCūM, 14 158.1]
aśītiṃ vātajān rogān dhanurvātān viśeṣataḥ | [RCūM, 14 158.2]
kapharogānaśeṣāṃśca mūtrarogāṃśca sarvaśaḥ | [RCūM, 14 159.1]
śvāsaṃ kāsaṃ kṣayaṃ pāṇḍuṃ śvayathuṃ śītakaṃ jvaram | [RCūM, 14 159.2]
grahaṇīmāmadoṣaṃ ca vahnimāndyaṃ ca durjayam | [RCūM, 14 160.1]
sarvān gudajadoṣāṃśca tattadrogānupānataḥ | [RCūM, 14 160.2]
rītikā kākatuṇḍīti dvividhaṃ pittalaṃ bhavet | [RCūM, 14 161.1]
saṃtaptā kāñjike kṣiptā tāmrābhā rītikā matā | [RCūM, 14 161.2]
evaṃ prajāyate kṛṣṇā kākatuṇḍīti sā matā | [RCūM, 14 161.3]
gurvī mṛdvī ca pītābhā sārāṅgī tāḍanakṣamā | [RCūM, 14 162.1]
susnigdhā masṛṇāṅgī ca rītikā tādṛśī śubhā | [RCūM, 14 162.2]
pāṇḍurābhā kharā rūkṣā barbarā ghaṭṭanākṣamā | [RCūM, 14 163.1]
pūtigandhā tathā laghvī rītirneṣṭā rasādiṣu | [RCūM, 14 163.2]
rītistiktarasā rūkṣā jantughnī sāsrapittanut | [RCūM, 14 164.1]
krimikuṣṭhaharā yogāt soṣṇavīryā ca śītalā | [RCūM, 14 164.2]
kākatuṇḍī gatasnehā tiktoṣṇā kaphapittanut | [RCūM, 14 165.1]
yakṛtplīhaharā śītavīryā ca parikīrtitā | [RCūM, 14 165.2]
taptā kṣiptā ca nirguṇḍīrase śyāmārajo'nvite | [RCūM, 14 166.1]
pañcavāreṇa saṃśuddhiṃ rītirāyāti niścitam | [RCūM, 14 166.2]
nimbūrasaśilāgandhaveṣṭitā puṭitāṣṭadhā | [RCūM, 14 167.1]
rītirāyāti bhasmatvaṃ tato yojyā yathāyatham | [RCūM, 14 167.2]
suvarṇarītikācūrṇaṃ bhakṣitaṃ viṣṭhitaṃ punaḥ | [RCūM, 14 168.1]
chāgena kṛṣṇavarṇena mattena taruṇena ca | [RCūM, 14 168.2]
talliptaṃ kharpare dagdhaṃ drutiṃ muñcati śobhanām | [RCūM, 14 169.1]
caturdaśalasadvarṇasuvarṇasadṛśacchaviḥ | [RCūM, 14 169.2]
dehalohakarī proktā yuktā rasarasāyane | [RCūM, 14 170.1]
mṛtārakūṭakaṃ kāntaṃ vyomasattvaṃ ca māritam | [RCūM, 14 170.2]
trayaṃ samāṃśakaṃ tulyavyoṣajantughnasaṃyutam | [RCūM, 14 171.1]
brahmabījājamodāgnibhallātatilasaṃyutam | [RCūM, 14 171.2]
sevitaṃ niṣkamātraṃ hi jantughnaṃ kuṣṭhanāśanam | [RCūM, 14 172.1]
viśeṣācchvetakuṣṭhaghnaṃ dīpanaṃ pācanaṃ hitam | [RCūM, 14 172.2]
aṣṭabhāgena tāmreṇa dvibhāgakuṭilena ca | [RCūM, 14 173.1]
vidrutena bhavet kāṃsyaṃ tat saurāṣṭrabhavaṃ śubham | [RCūM, 14 173.2]
tīkṣṇaśabdaṃ mṛdu snigdhamīṣacchyāmalaśubhrakam | [RCūM, 14 174.1]
nirmalaṃ dāharaktaṃ ca ṣoḍhā kāṃsyaṃ praśasyate | [RCūM, 14 174.2]
yatpītaṃ dahane tāmraṃ kharaṃ rūkṣaṃ ghanāsaham | [RCūM, 14 175.1]
mandanādaṃ gatajyotiḥ saptadhā kāṃsyamutsṛjet | [RCūM, 14 175.2]
kāṃsyaṃ laghu ca tiktoṣṇaṃ lekhanaṃ dṛkprasādanam | [RCūM, 14 176.1]
krimikoṭiharaṃ vātapittaghnaṃ bhājane hitam | [RCūM, 14 176.2]
ghṛtamekaṃ vinā cānyatsarvaṃ kāṃsyagataṃ nṛṇām | [RCūM, 14 177.1]
bhuktam ārogyasukhadaṃ hitaṃ sātmyakaraṃ tathā | [RCūM, 14 177.2]
taptaṃ kāṃsyaṃ gavāṃ mūtre vāpitaṃ pariśudhyati | [RCūM, 14 178.1]
mriyate gandhatālābhyāṃ nirutthaṃ pañcabhiḥ puṭaiḥ | [RCūM, 14 178.2]
kāṃsyārkarītilohāhijātaṃ tadvarttalohakam | [RCūM, 14 179.1]
tadeva pañcalohākhyaṃ lohavidbhirudāhṛtam | [RCūM, 14 179.2]
himāmlakaṭukaṃ rūkṣaṃ kaphapittavināśanam | [RCūM, 14 180.1]
rucyaṃ tvacyaṃ krimighnaṃ ca netryaṃ malaviśodhanam | [RCūM, 14 180.2]
tadbhāṇḍasādhitaṃ sarvam annavyañjanasūpakam | [RCūM, 14 181.1]
amlena varjitaṃ cāpi dīpanaṃ pācanaṃ śubham | [RCūM, 14 181.2]
drutamaśvajale kṣiptaṃ varttalohaṃ viśudhyati | [RCūM, 14 182.1]
mriyate gandhatālābhyāṃ puṭitaṃ varttalohakam | [RCūM, 14 182.2]
teṣu teṣviha yogeṣu yojanīyaṃ yathāvidhi | [RCūM, 14 183.1]
jātimadbhirviśuddhaiśca vidhinā parisādhitaiḥ | [RCūM, 14 183.2]
rasoparasalohādyaiḥ sūtaḥ sidhyati nānyathā | [RCūM, 14 183.3]
ratnāni lohāni varāṭaśuktipāṣāṇajātaṃ khuraśṛṅgaśalyam | [RCūM, 14 184.1]
mahārasādyeṣu kaṭhoradehaṃ bhasmīkṛtaṃ tatkhalu sūtayogyam | [RCūM, 14 184.2]
vajrāṇāṃ drāvaṇārthāya sattvaṃ bhūnāgajaṃ bruve | [RCūM, 14 185.1]
sadeva paramaṃ tejaḥ sūtarājendravajrayoḥ | [RCūM, 14 185.2]
dhautaṃ bhūnāgasambhūtaṃ mardayed bhṛṅgajai rasaiḥ | [RCūM, 14 186.1]
nimbudravaiśca nirguṇḍyāḥ svarasaistridinaṃ pṛthak | [RCūM, 14 186.2]
tad drāvaṇagaṇopetaṃ saṃmardya vaṭakīkṛtam | [RCūM, 14 187.1]
nirudhya dṛḍhamūṣāyāṃ dvidaṇḍaṃ pradhamed dṛḍham | [RCūM, 14 187.2]
svataḥ śītaṃ samāhṛtya paṭṭake viniveśya yat | [RCūM, 14 188.1]
ravakān rājikātulyān reṇūnapi bharānvitān | [RCūM, 14 188.2]
dvādaśāṃśārkasaṃyuktān dhamitvā ravakāṃścaret | [RCūM, 14 189.1]
vajrādidrāvaṇaṃ tena prakurvīta yathepsitam | [RCūM, 14 189.2]
kharasattvamidaṃ proktaṃ rasāyanamanuttamam | [RCūM, 14 190.1]
dvitrimūṣāsu caikasyāṃ sattvaṃ bhavati niścitam | [RCūM, 14 190.2]
suvarṇarūpyatāmrāyaḥkāntasambhūtabhūmijān | [RCūM, 14 191.1]
bhujaṅgamān upādāya catuḥprasthasamanvitān | [RCūM, 14 191.2]
prakṣālya rajanītoyaiḥ śītalaiśca jalairapi | [RCūM, 14 192.1]
upoṣitaṃ mayūraṃ vā śūraṃ vā caraṇāyudham | [RCūM, 14 192.2]
krameṇa cārayitvātha tadviṣṭhāṃ samupāharet | [RCūM, 14 193.1]
kṣārāmlaiḥ saha saṃpeṣya viśoṣya ca kharātape | [RCūM, 14 193.2]
tataḥ kharparake kṣiptvā bharjayitvā maṣīṃ caret | [RCūM, 14 194.1]
maṣīṃ drāvaṇavargeṇa saṃyuktāṃ saṃpramarditām | [RCūM, 14 194.2]
nirudhya koṣṭhikāmadhye pradhamed ghaṭikādvayam | [RCūM, 14 195.1]
śītalībhūtamūṣāyāḥ khoṭamuddhṛtya peṣayet | [RCūM, 14 195.2]
prakṣālya ravakānāśu samādāya prayatnataḥ | [RCūM, 14 196.1]
suvarṇamānavad dhmātvā ravaṃ kṛtvā niyojayet | [RCūM, 14 196.2]
bhūnāgodbhavasattvam uttamatamaṃ śrīsomadevoditaṃ dattaṃ pādamitaṃ dviśāṇakanake kurvīta tenormikām | [RCūM, 14 197.1]
taddhautāmbuvilepanaṃ sthiracarodbhūtaṃ viṣaṃ netraruk śūlaṃ mūlagadaṃ ca karṇajarujo hanyāt prasūtigraham | [RCūM, 14 197.2]
kathyate'ṅkolatailaṃ ca rasabhasmādinirmitau | [RCūM, 14 198.1]
puṇyaślokamahāmātyaiḥ śrīmadbhirdevasūnubhiḥ | [RCūM, 14 198.2]
purāṇāṅkolabījānāṃ peṣaṃ kṛtvā tu durghanam | [RCūM, 14 199.1]
āḍhakapramitaṃ kumbhe vinidhāya nirudhya ca | [RCūM, 14 199.2]
kumbhasya ca talacchidre śalākāmāyasīṃ kṣipet | [RCūM, 14 200.1]
sārdhahastapravistāre nimne garte sugarttake | [RCūM, 14 200.2]
tatra prādeśike gartte sīsapātraṃ nidhāya ca | [RCūM, 14 201.1]
paṭaṃ ca paribaddhvā tu sandhibandhaṃ samācaret | [RCūM, 14 201.2]
laddibhiḥ pūrayed gartaṃ kaṇṭhāvadhi tataḥ param | [RCūM, 14 202.1]
ṣaṇmāsāt sīsapātrasthaṃ tattailaṃ samupāharet | [RCūM, 14 202.2]
tena tailena saṃklinnāḥ pāṣāṇā ye bhuvartikāḥ | [RCūM, 14 203.1]
kūpe prakṣālitāḥ kṣiptā jvalanti niśi te ciram | [RCūM, 14 203.2]
tena liptaṃ tathaivoktaṃ bījamudbhavati dhruvam | [RCūM, 14 204.1]
vadhyate mriyate sūtastailenānena niścitam | [RCūM, 14 204.2]
tattaile māsamātraṃ hi sthitā dāliścaṇodbhavā | [RCūM, 14 205.1]
bhakṣitāsyāccaturthāṃśā ṣaṣṭivāraṃ virecayet | [RCūM, 14 205.2]
takraṃ bhaktaṃ tataḥ pathyaṃ dātavyaṃ rekaśāntaye | [RCūM, 14 206.1]
pakṣānte dālikārdhena pūrvavadrecayet khalu | [RCūM, 14 206.2]
tato dālī tripādena cūrṇārdhena tataḥ param | [RCūM, 14 207.1]
pakṣe pakṣe virekeṇa sarvaṃ kuṣṭhaṃ vinaśyati | [RCūM, 14 207.2]
rekasādhyagadāḥ sarve vinaśyanti na saṃśayaḥ | [RCūM, 14 208.1]
rekasādhyagadāḥ sarve śvetakuṣṭhaṃ viśeṣataḥ | [RCūM, 14 208.2]
bindumātreṇa tailena śuddho guñjāmito rasaḥ | [RCūM, 14 209.1]
mardito'hilatāpatre patreṇa saha bhakṣitaḥ | [RCūM, 14 209.2]
tatkṣaṇād eva kurute hyanalaṃ dīptamuddhatam | [RCūM, 14 210.1]
saṃsevinaṃ naraṃ cāpi vṛkasyevāti bhojinam | [RCūM, 14 210.2]
aṅkolatailametaddhi dehalohavidhāyakam | [RCūM, 14 211.1]
etattailavilepena śvetakuṣṭhaṃ vinaśyati | [RCūM, 14 211.2]
etadaṅkolakaṃ tailaṃ mahatsattvamudāhṛtam | [RCūM, 14 212.1]
ghṛtavajjāyate styānaṃ tatsarvamiti kathyate | [RCūM, 14 212.2]
nistvacāṅkolabījāni kiṃcijjarjaritāni ca | [RCūM, 14 213.1]
ruddhvā vidyādhare yantre daṇḍārdhaṃ prapacecchanaiḥ | [RCūM, 14 213.2]
ūrdhvasthālīgataṃ tailaṃ nāgavallīdale kṣipet | [RCūM, 14 214.1]
tasminguñjāmitaṃ sūtaṃ vimardya sadalaṃ graset | [RCūM, 14 214.2]
kuryād dīpanam uddhataṃ gurutaradravyādisaṃcūrṇanaṃ hanyādaṣṭavidhaṃ ca gulmam aruciṃ plīhāmayaṃ svāmayam | [RCūM, 14 215.1]
śvitrādyaṃ sakalaṃ ca kuṣṭhamacirātpāṇḍvāmayaṃ ca jvaraṃ śūlaṃ mūlagadaṃ tathā śvayathukaṃ śvāsaṃ ca kāsaṃ nṛṇām | [RCūM, 14 215.2]
nirasthyaṅkolabījāni sūkṣmāṇyuṣṇena vāriṇā | [RCūM, 14 216.1]
goṇyāṃ nikṣipya nistvañci vidhāya tadanantaram | [RCūM, 14 216.2]
bhāṇḍasthite tataḥ kṣāre prakṣipetsalile khalu | [RCūM, 14 217.1]
tilaparṇījaṭāṃ kṣuṇṇāṃ nikṣipettatra mātrayā | [RCūM, 14 217.2]
dvirātramuṣitaṃ tatra bhājane'nye vinikṣipet | [RCūM, 14 218.1]
śuṣke tu nirgataṃ tailaṃ kṣipennāgakaraṇḍake | [RCūM, 14 218.2]
caṇānāṃ dālayastatra sthitā māsatrayaṃ tataḥ | [RCūM, 14 219.1]
tatrādye pādamātraṃ hi pradadyātkuṣṭharogiṇe | [RCūM, 14 219.2]
tenāśu recitastriṃśadvārāṇi tadanantaram | [RCūM, 14 220.1]
sasaṃbhaktaṃ tathā pathyaṃ dātavyaṃ śākavarjitam | [RCūM, 14 220.2]
evaṃ virecito nūnaṃ satataṃ daśabhirdinaiḥ | [RCūM, 14 221.1]
sarvakuṣṭhair vimucyeta vāraiḥ ṣaṭsaptabhiḥ khalu | [RCūM, 14 221.2]
pūrvaproktena tailena guṇaistulyaṃ prakīrtitam | [RCūM, 14 222.1]
mūlānyuttaravāruṇyā jarjarīkṛtya kāñjikaiḥ | [RCūM, 14 222.2]
kṣipedaṅkolabījānāṃ peṣikāṃ jarjarīkṛtām | [RCūM, 14 223.1]
tattailaṃ ghṛtavatstyānaṃ paraṃ grāhyaṃ yathāvidhi | [RCūM, 14 223.2]
sampiṣyottaravāruṇyā peṭakāryā dalānyatha | [RCūM, 14 224.1]
kāñjikena tatastena kalkena parimardayet | [RCūM, 14 224.2]
rajaścāṅkolabījānāṃ tadbaddhvā viralāmbare | [RCūM, 14 225.1]
tadvilambyātape tīvre tasyādhaścaṣakaṃ nyaset | [RCūM, 14 225.2]
tatra nipatitaṃ tailamādeyaṃ śvitranāśanam | [RCūM, 14 226.1]
aṅkolabījasambhūtaṃ cūrṇaṃ saṃmardya kāñjikaiḥ | [RCūM, 14 226.2]
ekarātroṣitaṃ tattu piṇḍīkṛtya tataḥ param | [RCūM, 14 227.1]
svedayet kanduke yantre ghaṭikādvitayaṃ tataḥ | [RCūM, 14 227.2]
tāṃ ca piṇḍīṃ dṛḍhe vastre baddhvā niṣpīḍya kāṣṭhataḥ | [RCūM, 14 228.1]
adhaḥ pātrasthitaṃ tailaṃ samāhṛtya niyojayet | [RCūM, 14 228.2]
evaṃ kandukayantreṇa sarvatailānyupāharet | [RCūM, 14 228.3]
{RCūM, 15}
rasapāthodhibhiḥ kiṃcinniḥśeṣaṃ na prakāśitam | [RCūM, 15 1.1]
daśāṣṭabhiḥ kriyāṃ vakṣye rasarājasya sāmpratam | [RCūM, 15 1.2]
sudhādisarvabhaiṣajyasāraḥ sūte pratiṣṭhitaḥ | [RCūM, 15 2.1]
amartyā bhavituṃ martyā niṣevadhvaṃ mitho yutam | [RCūM, 15 2.2]
āyurvajraṃ vitarati nṛṇām aṅgavarṇaṃ suvarṇaṃ sattvaṃ vyomno madakaribalaṃ tāmram ugrāṃ kṣudhāṃ ca | [RCūM, 15 3.1]
māyoḥ śāntiṃ rajatamamalaṃ kāntametatsamastaṃ śrīmān sūtaḥ sakalagadahṛd dehalohe tu siddhaḥ | [RCūM, 15 3.2]
kalpādau śivayoḥ prītyā parasparajigīṣayā | [RCūM, 15 4.1]
sampravṛtte tu sambhoge trilokīkṣobhakāriṇi | [RCūM, 15 4.2]
devaiḥ saṃpreṣito vahniḥ surataṃ vinivāritum | [RCūM, 15 5.1]
kāṅkṣayā tatsutodbhūter nihantuṃ tārakāsuram | [RCūM, 15 5.2]
kapotarūpiṇaṃ prāptaṃ himavatkandare'nalam | [RCūM, 15 6.1]
apakṣibhāvasaṃkṣubdhaṃ smarasmerāvalokitam | [RCūM, 15 6.2]
taṃ vīkṣya lajjitaḥ śambhurviramya suratāttadā | [RCūM, 15 7.1]
srutamātmagataṃ tejaḥ so'grahīdekapāṇinā | [RCūM, 15 7.2]
