{VSM, 1}
iṣe tvā | [VSM, 1 1.1]
athā na indra id viśo 'sapatnāḥ samanasas karat | [VSM, 7 25.4]
yas te drapsa skandati yas te aṃśur grāvacyuto dhiṣaṇayor upasthāt | [VSM, 7 26.1]
adhvaryor vā pari vā yaḥ pavitrāt taṃ juhomi manasā vaṣaṭkṛtaṃ svāhā | [VSM, 7 26.2]
devānām utkramaṇam asi | [VSM, 7 26.3]
prāṇāya me varcodā varcase pavasva | [VSM, 7 27.1]
vyānāya me varcodā varcase pavasva | [VSM, 7 27.2]
udānāya me varcodā varcase pavasva | [VSM, 7 27.3]
vāce me varcodā varcase pavasva | [VSM, 7 27.4]
kratūdakṣābhyāṃ me varcodā varcase pavasva | [VSM, 7 27.5]
śrotrāya me varcodā varcase pavasva | [VSM, 7 27.6]
cakṣurbhyāṃ me varcodasau varcase pavethām | [VSM, 7 27.7]
ātmane me varcodā varcase pavasva | [VSM, 7 28.1]
ojase me varcodā varcase pavasva | [VSM, 7 28.2]
āyuṣe me varcodā varcase pavasva | [VSM, 7 28.3]
viśvābhyo me prajābhyo varcodasau varcase pavethām | [VSM, 7 28.4]
ko 'si katamo 'si kasyāsi ko nāmāsi | [VSM, 7 29.1]
yasya te nāmāmanmahi yaṃ tvā somenātītṛpāma | [VSM, 7 29.2]
bhūr bhuvaḥ svaḥ suprajāḥ prajābhiḥ syāṃ suvīro vīraiḥ supoṣaḥ poṣaiḥ | [VSM, 7 29.3]
upayāmagṛhīto 'si madhave tvā | [VSM, 7 30.1]
upayāmagṛhīto 'si mādhavāya tvā | [VSM, 7 30.2]
upayāmagṛhīto 'si śukrāya tvā | [VSM, 7 30.3]
upayāmagṛhīto 'si śucaye tvā | [VSM, 7 30.4]
upayāmagṛhīto 'si nabhase tvā | [VSM, 7 30.5]
upayāmagṛhīto 'si nabhasyāya tvā | [VSM, 7 30.6]
upayāmagṛhīto 'sīṣe tvā | [VSM, 7 30.7]
upayāmagṛhīto 'sy ūrje tvā | [VSM, 7 30.8]
upayāmagṛhīto 'si sahase tvā | [VSM, 7 30.9]
upayāmagṛhīto 'si sahasyāya tvā | [VSM, 7 30.10]
upayāmagṛhīto 'si tapase tvā | [VSM, 7 30.11]
upayāmagṛhīto 'si tapasyāya tvā | [VSM, 7 30.12]
upayāmagṛhīto 'sy aṃhasaspataye tvā | [VSM, 7 30.13]
indrāgnī āgataṃ sutaṃ gīrbhir nabho vareṇyam | [VSM, 7 31.1]
asya pātaṃ dhiyeṣitā | [VSM, 7 31.2]
upayāmagṛhīto 'sīndrāgnibhyāṃ tvā | [VSM, 7 31.3]
eṣa te yonir indrāgnibhyāṃ tvā | [VSM, 7 31.4]
ā ghā ye agnim indhate stṛṇanti barhir ānuṣak | [VSM, 7 32.1]
yeṣām indro yuvā sakhā | [VSM, 7 32.2]
upayāmagṛhīto 'sy agnīndrābhyāṃ tvā | [VSM, 7 32.3]
eṣa te yonir agnīndrābhyāṃ tvā | [VSM, 7 32.4]
omāsaś carṣaṇīdhṛto viśve devāsa āgata | [VSM, 7 33.1]
dāśvāṃso dāśuṣaḥ sutam | [VSM, 7 33.2]
upayāmagṛhīto 'si viśvebhyas tvā devebhyaḥ | [VSM, 7 33.3]
eṣa te yonir viśvebhyas tvā devebhyaḥ | [VSM, 7 33.4]
viśve devāsa āgata śṛṇutā ma imaṃ havam | [VSM, 7 34.1]
edaṃ barhir niṣīdata | [VSM, 7 34.2]
upayāmagṛhīto 'si viśvebhyas tvā devebhyaḥ | [VSM, 7 34.3]
eṣa te yonir viśvebhyas tvā devebhyaḥ | [VSM, 7 34.4]
indra marutva iha pāhi somaṃ yathā śāryāte apibaḥ sutasya | [VSM, 7 35.1]
tava praṇītī tava śūra śarmann āvivāsanti kavayaḥ suyajñāḥ | [VSM, 7 35.2]
upayāmagṛhīto 'sīndrāya tvā marutvate | [VSM, 7 35.3]
eṣa te yonir indrāya tvā marutvate | [VSM, 7 35.4]
marutvantaṃ vṛṣabhaṃ vāvṛdhānam akavāriṃ divyaṃ śāsam indram | [VSM, 7 36.1]
viśvāsāham avase nūtanāyograṃ sahodām iha taṃ huvema | [VSM, 7 36.2]
upayāmagṛhīto 'sīndrāya tvā marutvate | [VSM, 7 36.3]
eṣa te yonir indrāya tvā marutvate | [VSM, 7 36.4]
upayāmagṛhīto 'si marutāṃ tvaujase | [VSM, 7 36.5]
sajoṣā indra sagaṇo marudbhiḥ somaṃ piba vṛtrahā śūra vidvān | [VSM, 7 37.1]
jahi śatrūṃr apa mṛdho nudasvāthābhayaṃ kṛṇuhi viśvato naḥ | [VSM, 7 37.2]
upayāmagṛhīto 'sīndrāya tvā marutvate | [VSM, 7 37.3]
eṣa te yonir indrāya tvā marutvate | [VSM, 7 37.4]
marutvāṁ indra vṛṣabho raṇāya pibā somam anuṣvadhaṃ madāya | [VSM, 7 38.1]
āsiñcasva jaṭhare madhva ūrmiṃ tvaṃ rājāsi pratipatsutānām | [VSM, 7 38.2]
upayāmagṛhīto 'sīndrāya tvā marutvate | [VSM, 7 38.3]
eṣa te yonir indrāya tvā marutvate | [VSM, 7 38.4]
mahāṁ indro nṛvad ā carṣaṇiprā uta dvibarhā aminaḥ sahobhiḥ | [VSM, 7 39.1]
asmadryag vāvṛdhe vīryāyoruḥ pṛthuḥ sukṛtaḥ kartṛbhir bhūt | [VSM, 7 39.2]
upayāmagṛhīto 'si mahendrāya tvā | [VSM, 7 39.3]
eṣa te yonir mahendrāya tvā | [VSM, 7 39.4]
mahāṁ indro ya ojasā parjanyo vṛṣṭimāṁ iva | [VSM, 7 40.1]
stomair vatsasya vāvṛdhe | [VSM, 7 40.2]
upayāmagṛhīto 'si mahendrāya tvā | [VSM, 7 40.3]
eṣa te yonir mahendrāya tvā | [VSM, 7 40.4]
ud u tyaṃ jātavedasaṃ devaṃ vahanti ketavaḥ | [VSM, 7 41.1]
dṛśe viśvāya sūryaṃ svāhā | [VSM, 7 41.2]
citraṃ devānām udagād anīkaṃ cakṣur mitrasya varuṇasyāgneḥ | [VSM, 7 42.1]
āprā dyāvāpṛthivī antarikṣaṃ sūrya ātmā jagatas tasthuṣaś ca svāhā | [VSM, 7 42.2]
agne naya supathā rāye asmān viśvāni deva vayunāni vidvān | [VSM, 7 43.1]
yuyodhy asmaj juhurāṇam eno bhūyiṣṭhāṃ te namauktiṃ vidhema svāhā | [VSM, 7 43.2]
ayaṃ no agnir varivas kṛṇotv ayaṃ mṛdhaḥ pura etu prabhindan | [VSM, 7 44.1]
ayaṃ vājān jayatu vājasātāv ayaṃ śatrūn jayatu jarhṛṣāṇaḥ svāhā | [VSM, 7 44.2]
rūpeṇa vo rūpam abhyāgāṃ tutho vo viśvavedā vibhajatu | [VSM, 7 45.1]
ṛtasya pathā preta candradakṣiṇāḥ | [VSM, 7 45.2]
vi svaḥ paśya vy antarikṣam | [VSM, 7 45.3]
yatasva sadasyaiḥ | [VSM, 7 45.4]
brāhmaṇam adya videyaṃ pitṛmantaṃ paitṛmatyam ṛṣim ārṣeyaṃ sudhātudakṣiṇam | [VSM, 7 46.1]
asmadrātā devatrā gacchata pradātāram āviśata | [VSM, 7 46.2]
agnaye tvā mahyaṃ varuṇo dadātu so 'mṛtatvam aśīyāyur dātra edhi mayo mahyaṃ pratigrahītre | [VSM, 7 47.1]
rudrāya tvā mahyaṃ varuṇo dadātu so 'mṛtatvam aśīya prāṇo dātra edhi vayo mahyaṃ pratigrahītre | [VSM, 7 47.2]
bṛhaspataye tvā mahyaṃ varuṇo dadātu so 'mṛtatvam aśīya tvag dātra edhi mayo mahyaṃ pratigrahītre | [VSM, 7 47.3]
yamāya tvā mahyaṃ varuṇo dadātu so 'mṛtatvam aśīya hayo dātra edhi vayo mahyaṃ pratigrahītre | [VSM, 7 47.4]
ko 'dāt kasmā adāt kāmo 'dāt kāmāyādāt | [VSM, 7 48.1]
kāmo dātā kāmaḥ pratigrahītā kāmaitat te | [VSM, 7 48.2]
{VSM, 8}
upayāmagṛhīto 'si | [VSM, 8 1.1]
ādityebhyas tvā | [VSM, 8 1.2]
viṣṇa urugāyaiṣa te somas taṃ rakṣasva mā tvā dabhan | [VSM, 8 1.3]
kadācana starīr asi nendra saścasi dāśuṣe | [VSM, 8 2.1]
upopen nu maghavan bhūya in nu te dānaṃ devasya pṛcyate | [VSM, 8 2.2]
ādityebhyas tvā | [VSM, 8 2.3]
kadācana pra yucchasy ubhe nipāsi janmanī | [VSM, 8 3.1]
turīyāditya savanaṃ ta indriyam ātasthāvamṛtaṃ divi | [VSM, 8 3.2]
ādityebhyas tvā | [VSM, 8 3.3]
yajño devānāṃ pratyeti sumnam ādityāso bhavatā mṛḍayantaḥ | [VSM, 8 4.1]
ā vo 'rvācī sumatir vavṛtyād aṃhoś cid yā varivovittarāsat | [VSM, 8 4.2]
ādityebhyas tvā | [VSM, 8 4.3]
vivasvann ādityaiṣa te somapīthas tasmin matsva | [VSM, 8 5.1]
śrad asmai naro vacase dadhātana yad āśīrdā dampatī vāmam aśnutaḥ | [VSM, 8 5.2]
pumān putro jāyate vindate vasv adhā viśvāhārapa edhate gṛhe | [VSM, 8 5.3]
vāmam adya savitar vāmam u śvo dive dive vāmam asmabhyaṃ sāvīḥ | [VSM, 8 6.1]
vāmasya hi kṣayasya deva bhūrer ayā dhiyā vāmabhājaḥ syāma | [VSM, 8 6.2]
upayāmagṛhīto 'si sāvitro 'si canodhāś canodhā asi cano mayi dhehi | [VSM, 8 7.1]
jinva yajñaṃ jinva yajñapatiṃ bhagāya devāya tvā savitre | [VSM, 8 7.2]
upayāmagṛhīto 'si suśarmāsi supratiṣṭhāno bṛhadukṣāya namaḥ | [VSM, 8 8.1]
viśvebhyas tvā devebhyaḥ | [VSM, 8 8.2]
eṣa te yonir viśvebhyas tvā devebhyaḥ | [VSM, 8 8.3]
upayāmagṛhīto 'si bṛhaspatisutasya deva soma ta indor indriyāvataḥ patnīvato grahāṁ ṛdhyāsam | [VSM, 8 9.1]
ahaṃ parastād aham avastād yad antarikṣaṃ tad u me pitābhūt | [VSM, 8 9.2]
ahaṃ sūryam ubhayato dadarśāhaṃ devānāṃ paramaṃ guhā yat | [VSM, 8 9.3]
agnā3i patnīvant sajūr devena tvaṣṭrā somaṃ piba svāhā | [VSM, 8 10.1]
prajāpatir vṛṣāsi retodhā reto mayi dhehi prajāpates te vṛṣṇo retodhaso retodhām aśīya | [VSM, 8 10.2]
upayāmagṛhīto 'si harir asi hāriyojano haribhyāṃ tvā | [VSM, 8 11.1]
haryordhānā stha sahasomā indrāya | [VSM, 8 11.2]
yas te aśvasanir bhakṣo yo gosanis tasya ta iṣṭayajuṣa stutasomasya śastokthasyopahūtasyopahūto bhakṣayāmi | [VSM, 8 12.1]
devakṛtasyainaso 'vayajanam asi | [VSM, 8 13.1]
manuṣyakṛtasyainaso 'vayajanam asi | [VSM, 8 13.2]
pitṛkṛtasyainaso 'vayajanam asi | [VSM, 8 13.3]
ātmakṛtasyainaso 'vayajanam asi | [VSM, 8 13.4]
enasa enaso 'vayajanam asi | [VSM, 8 13.5]
yac cāham eno vidvāṃś cakāra yac cāvidvāṃs tasya sarvasyainaso 'vayajanam asi | [VSM, 8 13.6]
saṃ varcasā payasā saṃ tanūbhir aganmahi manasā saṃ śivena | [VSM, 8 14.1]
tvaṣṭā sudatro vidadhātu rāyo 'nu mārṣṭu tanvo yad viliṣṭam | [VSM, 8 14.2]
sam indra ṇo manasā neṣi gobhiḥ saṃ sūribhir maghavant saṃ svastyā | [VSM, 8 15.1]
saṃ brahmaṇā devakṛtaṃ yad asti saṃ devānāṃ sumatau yajñiyānāṃ svāhā | [VSM, 8 15.2]
saṃ varcasā payasā saṃ tanūbhir aganmahi manasā saṃ śivena | [VSM, 8 16.1]
tvaṣṭā sudatro vidadhātu rāyo 'numārṣṭu tanvo yad viliṣṭam | [VSM, 8 16.2]
dhātā rātiḥ savitedaṃ juṣantāṃ prajāpatir nidhipā devo agniḥ | [VSM, 8 17.1]
tvaṣṭā viṣṇuḥ prajayā saṃrarāṇā yajamānāya draviṇaṃ dadhāta svāhā | [VSM, 8 17.2]
sugā vo devāḥ sadanā akarma ya ājagmedaṃ savanaṃ juṣāṇāḥ | [VSM, 8 18.1]
bharamāṇā vahamānā havīṃṣy asme dhatta vasavo vasūni svāhā | [VSM, 8 18.2]
yāṃ āvaha uśato deva devāṃs tān preraya sve agne sadhasthe | [VSM, 8 19.1]
jakṣivāṃsaḥ papivāṃsaś ca viśve 'suṃ gharmaṃ svarātiṣṭhatānu svāhā | [VSM, 8 19.2]
vayaṃ hi tvā prayati yajñe asminn agne hotāram avṛṇīmahīha | [VSM, 8 20.1]
ṛdhag ayā ṛdhag utāśamiṣṭhāḥ prajānan yajñam upayāhi vidvānt svāhā | [VSM, 8 20.2]
devā gātuvido gātuṃ vittvā gātum ita | [VSM, 8 21.1]
manasaspata imaṃ deva yajñaṃ svāhā vāte dhāḥ | [VSM, 8 21.2]
yajña yajñaṃ gaccha yajñapatiṃ gaccha svāṃ yoniṃ gaccha svāhā | [VSM, 8 22.1]
eṣa te yajño yajñapate sahasūktavākaḥ sarvavīras taj juṣasva svāhā | [VSM, 8 22.2]
māhir bhūr mā pṛdākuḥ | [VSM, 8 23.1]
uruṃ hi rājā varuṇaś cakāra sūryāya panthām anvetavā u | [VSM, 8 23.2]
apade pādā pratidhātave 'kar utāpavaktā hṛdayāvidhaś cit | [VSM, 8 23.3]
namo varuṇāyābhiṣṭhito varuṇasya pāśaḥ | [VSM, 8 23.4]
agner anīkam apa āviveśāpāṃ napāt pratirakṣann asuryam | [VSM, 8 24.1]
dame dame samidhaṃ yakṣy agne prati te jihvā ghṛtam uc caraṇyat svāhā | [VSM, 8 24.2]
samudre te hṛdayam apsv antaḥ saṃ tvā viśantv oṣadhīr utāpaḥ | [VSM, 8 25.1]
yajñasya tvā yajñapate sūktoktau namovāke vidhema yat svāhā | [VSM, 8 25.2]
devīr āpa eṣa vo garbhas taṃ suprītaṃ subhṛtaṃ bibhṛta | [VSM, 8 26.1]
deva somaiṣa te lokas tasmiñ chaṃ ca vakṣva pari ca vakṣva | [VSM, 8 26.2]
avabhṛtha nicumpuṇa nicerur asi nicumpuṇaḥ | [VSM, 8 27.1]
ava devair devakṛtam eno 'yāsiṣam ava martyair martyakṛtaṃ pururāvṇo deva riṣas pāhi | [VSM, 8 27.2]
devānāṃ samid asi | [VSM, 8 27.3]
ejatu daśamāsyo garbho jarāyuṇā saha | [VSM, 8 28.1]
yathāyaṃ vāyur ejati yathā samudra ejati | [VSM, 8 28.2]
evāyaṃ daśamāsyo asraj jarāyuṇā saha | [VSM, 8 28.3]
yasyai te yajñiyo garbho yasyai yonir hiraṇyayī | [VSM, 8 29.1]
aṅgāny ahrutā yasya taṃ mātrā samajīgamaṃ svāhā | [VSM, 8 29.2]
purudasmo viṣurūpa indur antar mahimānam ānañja dhīraḥ | [VSM, 8 30.1]
ekapadīṃ dvipadīṃ tripadīṃ catuṣpadīm aṣṭāpadīṃ bhuvanānuprathantāṃ svāhā | [VSM, 8 30.2]
maruto yasya hi kṣaye pāthā divo vimahasaḥ | [VSM, 8 31.1]
sa sugopātamo janaḥ | [VSM, 8 31.2]
mahī dyauḥ pṛthivī ca na imaṃ yajñaṃ mimikṣatām | [VSM, 8 32.1]
pipṛtāṃ no bharīmabhiḥ | [VSM, 8 32.2]
ātiṣṭha vṛtrahan rathaṃ yuktā te brahmaṇā harī | [VSM, 8 33.1]
arvācīnaṃ su te mano grāvā kṛṇotu vagnunā | [VSM, 8 33.2]
upayāmagṛhīto 'sīndrāya tvā ṣoḍaśine | [VSM, 8 33.3]
eṣa te yonir indrāya tvā ṣoḍaśine | [VSM, 8 33.4]
yukṣvā hi keśinā harī vṛṣaṇā kakṣyaprā | [VSM, 8 34.1]
athā na indra somapā girām upaśrutiṃ cara | [VSM, 8 34.2]
upayāmagṛhīto 'sīndrāya tvā ṣoḍaśine | [VSM, 8 34.3]
eṣa te yonir indrāya tvā ṣoḍaśine | [VSM, 8 34.4]
indram iddharī vahato 'pratidhṛṣṭaśavasam | [VSM, 8 35.1]
ṛṣīṇāṃ ca stutīr upa yajñaṃ ca mānuṣāṇām | [VSM, 8 35.2]
upayāmagṛhīto 'sīndrāya tvā ṣoḍaśine | [VSM, 8 35.3]
eṣa te yonir indrāya tvā ṣoḍaśine | [VSM, 8 35.4]
yasmān na jātaḥ paro anyo asti ya āviveśa bhuvanāni viśvā | [VSM, 8 36.1]
prajāpatiḥ prajayā saṃrarāṇas trīṇi jyotīṃṣi sacate sa ṣoḍaśī | [VSM, 8 36.2]
indraś ca samrāḍ varuṇaś ca rājā tau te bhakṣaṃ cakratur agra etam | [VSM, 8 37.1]
tayor aham anu bhakṣaṃ bhakṣayāmi vāg devī juṣāṇā somasya tṛpyatu | [VSM, 8 37.2]
saha prāṇena svāhā | [VSM, 8 37.3]
agne pavasva svapā asme varcaḥ suvīryam | [VSM, 8 38.1]
dadhad rayiṃ mayi poṣam | [VSM, 8 38.2]
upayāmagṛhīto 'sy agnaye tvā varcase | [VSM, 8 38.3]
eṣa te yonir agnaye tvā varcase | [VSM, 8 38.4]
agne varcasvin varcasvāṃs tvaṃ deveṣv asi varcasvān ahaṃ manuṣyeṣu bhūyāsam | [VSM, 8 38.5]
uttiṣṭhann ojasā saha pītvī śipre avepayaḥ | [VSM, 8 39.1]
somam indra camū sutam | [VSM, 8 39.2]
upayāmagṛhīto 'sīndrāya tvaujase | [VSM, 8 39.3]
eṣa te yonir indrāya tvaujase | [VSM, 8 39.4]
indraujiṣṭhaujiṣṭhas tvaṃ deveṣv asy ojiṣṭho 'haṃ manuṣyeṣu bhūyāsam | [VSM, 8 39.5]
adṛśram asya ketavo vi raśmayo janāṁ anu | [VSM, 8 40.1]
bhrājanto agnayo yathā | [VSM, 8 40.2]
upayāmagṛhīto 'si sūryāya tvā bhrājāya | [VSM, 8 40.3]
eṣa te yoniḥ sūryāya tvā bhrājāya | [VSM, 8 40.4]
sūrya bhrājiṣṭha bhrājiṣṭhas tvaṃ deveṣv asi bhrājiṣṭho 'haṃ manuṣyeṣu bhūyāsam | [VSM, 8 40.5]
ud u tyaṃ jātavedasaṃ devaṃ vahanti ketavaḥ | [VSM, 8 41.1]
dṛśe viśvāya sūryam | [VSM, 8 41.2]
upayāmagṛhīto 'si sūryāya tvā bhrājāya | [VSM, 8 41.3]
eṣa te yoniḥ sūryāya tvā bhrājāya | [VSM, 8 41.4]
sūrya bhrājiṣṭha bhrājiṣṭhas tvaṃ deveṣv asi bhrājiṣṭho 'haṃ manuṣyeṣu bhūyāsam | [VSM, 8 41.5]
ājighra kalaśaṃ mahyā tvā viśantvindavaḥ | [VSM, 8 42.1]
punarūrjā nivartasva sā naḥ sahasraṃ dhukṣvorudhārā payasvatī punar māviśatād rayiḥ | [VSM, 8 42.2]
iḍe rante havye kāmye candre jyote 'dite sarasvati mahi viśruti | [VSM, 8 43.1]
etā te aghnye nāmāni devebhyo mā sukṛtaṃ brūtāt | [VSM, 8 43.2]
vi na indra mṛdho jahi nīcā yaccha pṛtanyataḥ | [VSM, 8 44.1]
yo asmāṁ abhidāsaty adharaṃ gamayā tamaḥ | [VSM, 8 44.2]
upayāmagṛhīto 'sīndrāya tvā vimṛdhe | [VSM, 8 44.3]
eṣa te yonir indrāya tvā vimṛdhe | [VSM, 8 44.4]
vācaspatiṃ viśvakarmāṇam ūtaye manojuvaṃ vāje adyā huvema | [VSM, 8 45.1]
sa no viśvāni havanāni joṣad viśvaśambhūr avase sādhukarmā | [VSM, 8 45.2]
upayāmagṛhīto 'sīndrāya tvā viśvakarmaṇe | [VSM, 8 45.3]
eṣa te yonir indrāya tvā viśvakarmaṇe | [VSM, 8 45.4]
viśvakarman haviṣā vardhanena trātāram indram akṛṇor avadhyam | [VSM, 8 46.1]
tasmai viśaḥ samanamanta pūrvīr ayam ugro vihavyo yathāsat | [VSM, 8 46.2]
upayāmagṛhīto 'sīndrāya tvā viśvakarmaṇe | [VSM, 8 46.3]
eṣa te yonir indrāya tvā viśvakarmaṇe | [VSM, 8 46.4]
upayāmagṛhīto 'sy agnaye tvā gāyatracchandasaṃ gṛhṇāmi | [VSM, 8 47.1]
indrāya tvā triṣṭupchandasaṃ gṛhṇāmi | [VSM, 8 47.2]
viśvebhyas tvā devebhyo jagacchandasaṃ gṛhṇāmi | [VSM, 8 47.3]
anuṣṭup te 'bhigaraḥ | [VSM, 8 47.4]
vreśīnāṃ tvā patmann ādhūnomi kukūnanānāṃ tvā patmann ādhūnomi bhandanānāṃ tvā patmann ādhūnomi madintamānāṃ tvā patmann ādhūnomi madhuntamānāṃ tvā patmann ādhūnomi śukraṃ tvā śukra ādhūnomy ahno rūpe sūryasya raśmiṣu | [VSM, 8 48.1]
kakubhaṃ rūpaṃ vṛṣabhasya rocate bṛhacchukraḥ śukrasya purogāḥ somaḥ somasya purogāḥ | [VSM, 8 49.1]
yat te somādābhyaṃ nāma jāgṛvi tasmai tvā gṛhṇāmi tasmai te soma somāya svāhā | [VSM, 8 49.2]
uśik tvaṃ deva somāgneḥ priyaṃ pātho 'pīhi | [VSM, 8 50.1]
vaśī tvaṃ deva somendrasya priyaṃ pātho 'pīhi | [VSM, 8 50.2]
asmatsakhā tvaṃ deva soma viśveṣāṃ devānāṃ priyaṃ pātho 'pīhi | [VSM, 8 50.3]
iha ratir iha ramadhvam iha dhṛtir iha svadhṛtiḥ svāhā | [VSM, 8 51.1]
upasṛjan dharuṇaṃ mātre dharuṇo mātaraṃ dhayan | [VSM, 8 51.2]
rāyaspoṣam asmāsu dīdharat svāhā | [VSM, 8 51.3]
satrasya ṛddhir asy aganma jyotir amṛtā abhūma divaṃ pṛthivyā adhy āruhāmāvidāma devānt svar jyotiḥ | [VSM, 8 52.1]
yuvaṃ tam indrāparvatā puroyudhā yo naḥ pṛtanyād apa taṃ tam iddhataṃ vajreṇa taṃ tam iddhatam | [VSM, 8 53.1]
dūre cattāya chantsad gahanaṃ yad inakṣat | [VSM, 8 53.2]
asmākaṃ śatrūn pari śūra viśvato darmā darṣīṣṭa viśvataḥ | [VSM, 8 53.3]
bhūr bhuvaḥ svaḥ suprajāḥ prajābhiḥ syāma suvīrā vīraiḥ supoṣāḥ poṣaiḥ | [VSM, 8 53.4]
parameṣṭhy abhidhītaḥ | [VSM, 8 54.1]
prajāpatir vāci vyāhṛtāyām | [VSM, 8 54.2]
andho acchetaḥ | [VSM, 8 54.3]
savitā sanyām | [VSM, 8 54.4]
viśvakarmā dīkṣāyām | [VSM, 8 54.5]
pūṣā somakrayaṇyām | [VSM, 8 54.6]
indraś ca marutaś ca krayāyopotthitaḥ | [VSM, 8 55.1]
asuraḥ paṇyamānaḥ | [VSM, 8 55.2]
mitraḥ krītaḥ | [VSM, 8 55.3]
viṣṇuḥ śipiviṣṭa ūrāv āsannaḥ | [VSM, 8 55.4]
viṣṇur narandhiṣaḥ prohyamāṇaḥ | [VSM, 8 55.5]
soma āgataḥ | [VSM, 8 56.1]
varuṇa āsandyām āsannaḥ | [VSM, 8 56.2]
agnir āgnīdhre | [VSM, 8 56.3]
indro havirdhāne | [VSM, 8 56.4]
atharvopāvahriyamāṇaḥ | [VSM, 8 56.5]
viśve devā aṃśuṣu nyuptaḥ | [VSM, 8 57.1]
viṣṇur āprītapā āpyāyyamānaḥ | [VSM, 8 57.2]
yamaḥ sūyamānaḥ | [VSM, 8 57.3]
viṣṇuḥ saṃbhriyamāṇaḥ | [VSM, 8 57.4]
vāyuḥ pūyamānaḥ | [VSM, 8 57.5]
śukraḥ pūtaḥ | [VSM, 8 57.6]
śukraṃ kṣīraśrīḥ | [VSM, 8 57.7]
manthī saktuśrīḥ | [VSM, 8 57.8]
viśve devāś camaseṣūnnītaḥ | [VSM, 8 58.1]
asur homāyodyataḥ | [VSM, 8 58.2]
rudro hūyamānaḥ | [VSM, 8 58.3]
vāto 'bhyāvṛttaḥ | [VSM, 8 58.4]
nṛcakṣāḥ pratikhyātaḥ | [VSM, 8 58.5]
bhakṣo bhakṣyamāṇaḥ | [VSM, 8 58.6]
pitaro nārāśaṃsāḥ sannaḥ | [VSM, 8 58.7]
sindhur avabhṛthāyodyataḥ | [VSM, 8 59.1]
samudro 'bhyavahriyamāṇaḥ | [VSM, 8 59.2]
salilaḥ praplutaḥ | [VSM, 8 59.3]
yayor ojasā skabhitā rajāṃsi vīryebhir vīratamā śaviṣṭhā | [VSM, 8 59.4]
yā patyete apratītā sahobhir viṣṇū agan varuṇā pūrvahūtau | [VSM, 8 59.5]
devān divam agan yajñas tato mā draviṇam aṣṭu manuṣyān antarikṣam agan yajñas tato mā draviṇam aṣṭu pitṝn pṛthivīm agan yajñas tato mā draviṇam aṣṭu yaṃ kaṃ ca lokam agan yajñas tato me bhadraṃ abhūt | [VSM, 8 60.1]
catustriṃśat tantavo ye vitatnire ya imaṃ yajñaṃ svadhayā dadante | [VSM, 8 61.1]
teṣāṃ chinnaṃ sam v etad dadhāmi svāhā gharmo apyetu devān | [VSM, 8 61.2]
yajñasya doho vitataḥ purutrā so aṣṭadhā divam anvātatāna | [VSM, 8 62.1]
sa yajña dhukṣva mahi me prajāyāṃ rāyaspoṣaṃ viśvam āyur aśīya svāhā | [VSM, 8 62.2]
āpavasva hiraṇyavad aśvavat soma vīravat | [VSM, 8 63.1]
vājaṃ gomantam ābhara svāhā | [VSM, 8 63.2]
{VSM, 9}
deva savitaḥ prasuva yajñaṃ prasuva yajñapatiṃ bhagāya | [VSM, 9 1.1]
divyo gandharvaḥ ketupūḥ ketaṃ naḥ punātu vācaspatir vājaṃ naḥ svadatu svāhā | [VSM, 9 1.2]
dhruvasadaṃ tvā nṛṣadaṃ manaḥsadam | [VSM, 9 2.1]
upayāmagṛhīto 'sīndrāya tvā juṣṭaṃ gṛhṇāmi | [VSM, 9 2.2]
eṣa te yonir indrāya tvā juṣṭatamam | [VSM, 9 2.3]
apsuṣadaṃ tvā ghṛtasadaṃ vyomasadam | [VSM, 9 2.4]
upayāmagṛhīto 'sīndrāya tvā juṣṭaṃ gṛhṇāmi | [VSM, 9 2.5]
eṣa te yonir indrāya tvā juṣṭatamam | [VSM, 9 2.6]
pṛthivīsadaṃ tvāntarikṣasadaṃ divisadaṃ devasadaṃ nākasadam | [VSM, 9 2.7]
upayāmagṛhīto 'sīndrāya tvā juṣṭaṃ gṛhṇāmi | [VSM, 9 2.8]
eṣa te yonir indrāya tvā juṣṭatamam | [VSM, 9 2.9]
apāṃ rasam udvayasaṃ sūrye santaṃ samāhitam | [VSM, 9 3.1]
apāṃ rasasya yo rasas taṃ vo gṛhṇāmy uttamam | [VSM, 9 3.2]
upayāmagṛhīto 'sīndrāya tvā juṣṭaṃ gṛhṇāmi | [VSM, 9 3.3]
eṣa te yonir indrāya tvā juṣṭatamam | [VSM, 9 3.4]
grahā ūrjāhutayo vyanto viprāya matim | [VSM, 9 4.1]
teṣāṃ viśipriyāṇāṃ vo 'ham iṣam ūrjaṃ samagrabham | [VSM, 9 4.2]
upayāmagṛhīto 'sīndrāya tvā juṣṭaṃ gṛhṇāmi | [VSM, 9 4.3]
eṣa te yonir indrāya tvā juṣṭatamam | [VSM, 9 4.4]
sampṛcau sthaḥ saṃ mā bhadreṇa pṛṅktam | [VSM, 9 4.5]
vipṛcau stho vi mā pāpmanā pṛṅktam | [VSM, 9 4.6]
indrasya vajro 'si vājasās tvayāyaṃ set | [VSM, 9 5.1]
vājasya nu prasave mātaraṃ mahīm aditiṃ nāma vacasā karāmahe | [VSM, 9 5.2]
yasyām idaṃ viśvaṃ bhuvanam āviveśa tasyāṃ no devaḥ savitā dharma sāviṣat | [VSM, 9 5.3]
